ISO3,Country,Latitude,Longitude,Planned/ managed camp,Collective center,Individual accommodation (private),Self-settled camp,Reception/ transit camp,Undefined/ unknown,Total,,,,,
AFG,Afghanistan,33.93911,67.709953, 	-   , 	-   ," 	16,863 ", 	-   , 	-   , 	-   ," 	16,863 ",,,,,
ALB,Albania,41.153332,20.168331, 	-   , 	15 , 	78 , 	-   , 	-   , 	-   , 	93 ,,,,,
ALG,Algeria1,28.033886,1.659626," 	90,000 ", 	-   , 	145 , 	-   , 	-   ," 	4,005 "," 	94,150 ",,,,,
ANG,Angola,-11.202692,17.873887, 	-   , 	-   ," 	23,783 ", 	-   , 	-   , 	-   ," 	23,783 ",,,,,
ANT,Antigua and Barbuda,17.060816,-61.796428, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,
ARG,Argentina,-38.416097,-63.616672, 	-   , 	-   ," 	3,362 ", 	-   , 	-   , 	-   ," 	3,362 ",,,,,
ARM,Armenia,40.069099,45.038189, 	-   , 	36 , 	499 , 	-   , 	-   ," 	13,197 "," 	13,732 ",,,,,
ABW,Aruba,12.52111,-69.968338, 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	1 ,,,,,
AUL,Australia,-25.274398,133.775136, 	-   , 	-   , 	-   , 	-   , 	-   ," 	34,503 "," 	34,503 ",,,,,
AUS,Austria,47.516231,14.550072, 	-   , 	-   , 	-   , 	-   , 	-   ," 	55,598 "," 	55,598 ",,,,,
AZE,Azerbaijan,40.143105,47.576927, 	-   , 	-   ," 	1,380 ", 	-   , 	-   , 	-   ," 	1,380 ",,,,,
BHS,Bahamas,25.03428,-77.39628, 	-   , 	8 , 	6 , 	-   , 	-   , 	1 , 	15 ,,,,,
BAH,Bahrain,26.0667,50.5577, 	-   , 	-   , 	294 , 	-   , 	-   , 	-   , 	294 ,,,,,
BGD,Bangladesh,23.684994,90.356331," 	30,914 ", 	-   , 	231 , 	-   , 	-   ," 	200,000 "," 	231,145 ",,,,,
BAR,Barbados,13.193887,-59.543198, 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	1 ,,,,,
BLR,Belarus,53.709807,27.953389, 	-   , 	-   , 	599 , 	-   , 	5 , 	-   , 	604 ,,,,,
BEL,Belgium,50.503887,4.469936, 	-   , 	-   , 	-   , 	-   , 	-   ," 	25,629 "," 	25,629 ",,,,,
BZE,Belize,17.189877,-88.49765, 	-   , 	-   , 	21 , 	-   , 	-   , 	-   , 	21 ,,,,,
BEN,Benin,9.30769,2.315834, 	-   , 	-   , 	194 , 	-   , 	-   , 	-   , 	194 ,,,,,
BOL,Bolivia (Plurinational State of),35.659203,139.721813, 	-   , 	-   , 	725 , 	-   , 	-   , 	23 , 	748 ,,,,,
BES,Bonaire,12.178361,-68.238534, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,
BSN,Bosnia and Herzegovina,43.915886,17.679076, 	-   , 	-   , 	187 , 	-   , 	30 ," 	6,709 "," 	6,926 ",,,,,
BOT,Botswana,-22.328474,24.684866," 	2,773 ", 	-   , 	-   , 	-   , 	-   , 	-   ," 	2,773 ",,,,,
BRA,Brazil,-14.235004,-51.92528, 	-   , 	-   ," 	5,196 ", 	-   , 	-   , 	-   ," 	5,196 ",,,,,
BVI,British Virgin Islands,18.420695,-64.639968, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,
BRU,Brunei Darussalam,4.535277,114.727669, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,
BUL,Bulgaria,42.733883,25.48583, 	-   , 	-   , 	-   , 	-   , 	-   ," 	4,320 "," 	4,320 ",,,,,
BKF,Burkina Faso,12.238333,-1.561593," 	23,074 ", 	-   ," 	2,018 "," 	4,142 ", 	-   , 	-   ," 	29,234 ",,,,,
BDI,Burundi,-3.373056,29.918886," 	28,341 ", 	207 ," 	16,942 ", 	-   , 	-   , 	-   ," 	45,490 ",,,,,
CAM,Cambodia,12.565679,104.990963, 	-   , 	-   , 	68 , 	-   , 	-   , 	-   , 	68 ,,,,,
CMR,Cameroon,7.369722,12.354722," 	3,310 ", 	-   ," 	10,308 "," 	101,135 ", 	-   , 	-   ," 	114,753 ",,,,,
CAN,Canada,56.130366,-106.346771, 	-   , 	-   , 	-   , 	-   , 	-   ," 	160,349 "," 	160,349 ",,,,,
CAY,Cayman Islands,19.3133,-81.2546, 	-   , 	-   , 	6 , 	-   , 	-   , 	-   , 	6 ,,,,,
CAR,Central African Rep.,9.031519,38.732432," 	11,252 ", 	-   ," 	3,070 ", 	-   , 	-   , 	-   ," 	14,322 ",,,,,
CHD,Chad,15.454166,18.732207," 	404,736 ", 	-   ," 	3,098 "," 	26,645 ", 	-   , 	-   ," 	434,479 ",,,,,
CHL,Chile,-35.675147,-71.542969, 	-   , 	-   ," 	1,743 ", 	-   , 	-   , 	-   ," 	1,743 ",,,,,
CHI,China,35.86166,104.195397, 	-   ," 	300,895 ", 	152 , 	-   , 	-   , 	-   ," 	301,047 ",,,,,
HKG,"-  Hong Kong SAR, China",22.396428,114.109497, 	-   , 	-   , 	126 , 	-   , 	-   , 	-   , 	126 ,,,,,
MAC,"-  Macao SAR, China",22.212679,113.535253, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,
